"Type (Control=0, Stress=1)",Beta power,"Anxiety (Low=0, High=1)",,,,,,,,Participant number
0,0.129020298707557,0,,,,,,,,6
0,-0.26145652580318,0,,,,,,,,6
0,0.038237732610788,0,,,,,,,,6
0,-0.223619409690623,0,,,,,,,,6
0,-0.060173234197755,0,,,,,,,,6
0,-0.066074990994754,0,,,,,,,,6
0,0.124208949827695,0,,,,,,,,6
0,-0.347409102440431,0,,,,,,,,6
0,-0.164073908944785,0,,,,,,,,6
0,-0.073276128337644,0,,,,,,,,6
0,0.07462200865737,0,,,,,,,,6
0,-0.112555166145895,0,,,,,,,,6
0,0.074970510674087,0,,,,,,,,6
0,-0.097941126952752,0,,,,,,,,6
0,-0.009235946891082,0,,,,,,,,6
0,-0.054488149350661,0,,,,,,,,6
0,-0.055083341959353,0,,,,,,,,6
0,-0.082791646230094,0,,,,,,,,6
0,-0.158075058728686,0,,,,,,,,6
0,-0.055280147730884,0,,,,,,,,6
0,-0.059684732294954,0,,,,,,,,6
0,0.246159915934278,0,,,,,,,,6
0,-0.173492306263415,0,,,,,,,,6
0,-0.162485341401088,0,,,,,,,,6
0,-0.188817662268484,0,,,,,,,,6
0,-0.071099330133039,0,,,,,,,,6
0,-0.136476007186166,0,,,,,,,,6
0,0.161259112498851,0,,,,,,,,6
0,-0.229778117937498,0,,,,,,,,6
0,0.223260045766953,0,,,,,,,,6
0,0.033071021726648,0,,,,,,,,6
0,-0.369295305098835,0,,,,,,,,6
0,0.137865935032803,0,,,,,,,,6
0,-0.18415895770259,0,,,,,,,,6
0,-0.193351237739653,0,,,,,,,,6
0,0.128727386621689,0,,,,,,,,6
0,-0.044618903952506,0,,,,,,,,6
0,-0.144018798579971,0,,,,,,,,6
0,-0.043700811131779,0,,,,,,,,6
0,0.10440012585091,0,,,,,,,,6
